serialanon,gorehs,hhcomp1,hhsizex,ndepchild,agehrp4x,agehrp6x,emphrpx,ethhrp2x,sexhrp,nbedsx,accomhh1,lenresb,ftbuyer,tenure4,mortwkx,rentwkx,amthbenx,housbenx,HYEARGRx,hhvulx
18190021420,5,7,1,0,3,4,1,1,2,1,4,5,3,3,-9.00,98.08,0.00,2,17892.50,2
18190021421,7,1,2,0,4,6,3,1,1,4,1,7,2,1,0.00,-9.00,-9.00,-9,100000.00,2
18190021422,7,1,2,0,4,6,3,1,1,1,4,5,3,2,-9.00,122.31,0.00,2,20898.00,2
18190021423,1,1,2,0,4,6,3,1,2,2,4,6,2,1,0.00,-9.00,-9.00,-9,23330.00,2
18190021424,6,7,1,0,3,4,4,1,2,1,3,4,3,2,-9.00,103.85,103.85,1,6500.00,1
18190021425,9,6,1,0,1,2,1,2,1,1,4,5,3,2,-9.00,92.31,0.00,2,20317.50,2
18190021426,8,6,1,0,2,2,4,2,1,1,5,2,3,2,-9.00,93.00,93.00,1,6612.00,1
18190021427,9,1,2,0,2,3,1,1,2,3,1,5,2,1,0.00,-9.00,-9.00,-9,69892.50,2
18190021428,9,1,5,3,3,4,1,1,1,4,1,5,2,1,447.36,-9.00,-9.00,-9,68666.72,2
18190021430,1,1,3,0,3,5,1,1,1,3,3,8,1,1,0.00,-9.00,-9.00,-9,79209.23,2
18190021431,5,1,2,0,3,4,3,1,1,2,2,6,3,2,-9.00,78.46,0.00,2,16640.00,2
18190021432,2,1,2,0,4,6,3,1,1,3,2,5,2,1,0.02,60.00,0.00,2,40907.50,2
18190021433,2,1,2,0,4,6,3,1,1,3,2,7,2,1,0.00,-9.00,-9.00,-9,18497.50,2
18190021434,7,1,2,0,4,6,3,1,1,5,1,6,2,1,0.00,-9.00,-9.00,-9,46420.50,2
18190021438,2,7,1,0,3,5,4,1,2,1,4,6,3,2,-9.00,80.77,0.00,2,5759.00,1
18190021441,10,1,2,0,3,5,6,1,2,2,3,2,2,1,0.00,-9.00,-9.00,-9,14040.00,2
18190021445,7,1,2,0,3,4,1,1,2,2,1,4,2,1,171.23,-9.00,-9.00,-9,100000.00,2
18190021449,6,1,2,0,3,4,1,1,1,3,1,7,2,1,0.00,-9.00,-9.00,-9,55725.00,2
18190021454,9,1,3,1,2,3,1,1,2,4,2,6,1,1,147.46,-9.00,-9.00,-9,60356.40,2
18190021458,6,7,1,0,3,5,1,1,2,3,2,8,3,2,-9.00,90.46,0.00,2,15080.00,2
18190021459,8,1,2,0,3,4,1,1,2,2,5,5,2,1,69.23,-9.00,-9.00,-9,91466.64,2
18190021460,7,1,2,0,3,4,1,1,1,3,3,5,3,3,-9.00,138.46,0.00,2,62437.50,2
18190021461,8,1,3,0,3,5,3,1,2,3,3,8,2,1,0.00,-9.00,-9.00,-9,36838.75,2
18190021463,4,7,1,0,3,5,3,1,2,1,4,6,3,2,-9.00,96.92,0.00,2,8325.00,2
18190021471,4,1,4,2,2,2,1,1,1,4,3,3,3,3,-9.00,168.46,0.00,2,26462.05,2
18190021475,9,1,2,0,4,6,3,1,1,3,1,4,2,1,0.00,-9.00,-9.00,-9,60715.00,2
